TrendID,Date,CategoryID,MarketDemandIndex,CompetitorPrice,PromotionalActivity,Seasonality,ConsumerSentimentIndex,Region,EconomicIndicator
1,1/1/2023,1,75,520,High,Winter,80,Northeast,5.5
2,1/2/2023,2,85,950,Medium,Winter,85,West,5.2
3,1/3/2023,3,65,85,Low,Spring,70,Midwest,5.7
4,1/4/2023,1,80,510,High,Spring,82,Southeast,5.8
5,1/5/2023,4,90,940,Medium,Spring,87,Southwest,6
6,1/6/2023,9,70,80,Low,Summer,75,Northwest,5.4
7,1/7/2023,8,85,500,High,Summer,88,West,6.2
8,1/8/2023,8,95,930,Medium,Summer,90,East,6.1
9,1/9/2023,6,60,75,Low,Fall,68,Midwest,5.6
10,1/10/2023,4,78,515,High,Fall,81,Southeast,5.9
11,1/11/2023,7,88,920,Medium,Fall,86,Northwest,5.8
12,1/12/2023,7,62,70,Low,Winter,69,Northeast,5.5
13,1/13/2023,5,76,525,High,Winter,81,West,5.4
14,1/14/2023,4,87,940,Medium,Winter,84,Midwest,5.3
15,1/15/2023,7,64,80,Low,Spring,71,Southeast,5.9
16,1/16/2023,5,82,530,High,Spring,83,Southwest,6
17,1/17/2023,5,92,950,Medium,Spring,88,Northwest,5.6
18,1/18/2023,5,72,85,Low,Summer,76,Northeast,5.7
19,1/19/2023,10,86,510,High,Summer,89,West,6.3
20,1/20/2023,6,96,960,Medium,Summer,91,Midwest,6.2
21,1/21/2023,10,63,75,Low,Fall,70,Southeast,5.8
22,1/22/2023,10,79,520,High,Fall,82,Southwest,5.9
23,1/23/2023,10,89,930,Medium,Fall,87,Northwest,6
24,1/24/2023,10,61,70,Low,Winter,68,Northeast,5.6
25,1/25/2023,10,77,530,High,Winter,82,West,5.5
26,1/26/2023,5,86,950,Medium,Winter,85,Midwest,5.4
27,1/27/2023,5,66,80,Low,Spring,71,Southeast,5.8
28,1/28/2023,5,81,515,High,Spring,84,Southwest,5.9
29,1/29/2023,5,91,940,Medium,Spring,89,Northwest,6.1
30,1/30/2023,5,73,85,Low,Summer,77,Northeast,5.6
31,1/31/2023,7,87,500,High,Summer,90,West,6.4
32,2/1/2023,7,97,930,Medium,Summer,92,Midwest,6.3
33,2/1/2023,10,64,75,Low,Fall,71,Southeast,5.7
34,2/2/2023,10,79,520,High,Fall,83,Southwest,5.8
35,2/3/2023,4,90,920,Medium,Fall,88,Northwest,5.9
36,2/4/2023,10,62,70,Low,Winter,69,Northeast,5.5
37,2/5/2023,10,78,525,High,Winter,81,West,5.4
38,2/6/2023,4,86,940,Medium,Winter,84,Midwest,5.3
39,2/7/2023,6,65,80,Low,Spring,70,Southeast,5.9
40,2/8/2023,6,83,510,High,Spring,85,Southwest,6
41,2/9/2023,5,93,950,Medium,Spring,89,Northwest,5.7
42,2/10/2023,5,71,85,Low,Summer,75,Northeast,5.6
43,2/11/2023,6,88,500,High,Summer,91,West,6.5
44,2/12/2023,5,98,960,Medium,Summer,93,Midwest,6.4
45,2/13/2023,5,60,75,Low,Fall,68,Southeast,5.6
46,2/14/2023,4,79,515,High,Fall,82,Southwest,5.7
47,2/15/2023,6,88,930,Medium,Fall,86,Northwest,5.8
48,2/16/2023,4,63,70,Low,Winter,69,Northeast,5.4
49,2/17/2023,10,76,525,High,Winter,80,West,5.5
50,2/18/2023,10,87,950,Medium,Winter,85,Midwest,5.2
51,2/19/2023,10,66,85,Low,Spring,71,Southeast,5.8
52,2/20/2023,10,82,510,High,Spring,83,Southwest,5.9
53,2/21/2023,10,92,940,Medium,Spring,87,Northwest,6
54,2/22/2023,10,70,80,Low,Summer,76,Northeast,5.4
55,2/23/2023,10,85,500,High,Summer,88,West,6.2
56,2/24/2023,10,96,930,Medium,Summer,91,Midwest,6.1
57,2/25/2023,10,61,75,Low,Fall,69,Southeast,5.7
58,2/26/2023,10,78,515,High,Fall,81,Southwest,5.8
59,2/27/2023,10,89,920,Medium,Fall,86,Northwest,5.9
60,2/28/2023,10,62,70,Low,Winter,68,Northeast,5.5
61,3/1/2023,1,77,530,High,Winter,82,West,5.4
62,3/1/2023,2,86,950,Medium,Winter,84,Midwest,5.3
63,3/2/2023,3,64,80,Low,Spring,70,Southeast,5.9
64,3/3/2023,1,81,515,High,Spring,84,Southwest,6
65,3/4/2023,4,91,940,Medium,Spring,89,Northwest,5.6
66,3/5/2023,9,73,85,Low,Summer,77,Northeast,5.7
67,3/6/2023,8,87,500,High,Summer,90,West,6.3
68,3/7/2023,8,97,930,Medium,Summer,92,Midwest,6.2
69,3/8/2023,6,65,75,Low,Fall,71,Southeast,5.8
70,3/9/2023,4,80,520,High,Fall,83,Southwest,5.8
71,3/10/2023,7,90,920,Medium,Fall,88,Northwest,5.9
72,3/11/2023,7,62,70,Low,Winter,69,Northeast,5.5
73,3/12/2023,5,78,525,High,Winter,81,West,5.4
74,3/13/2023,4,86,940,Medium,Winter,84,Midwest,5.3
75,3/14/2023,7,65,80,Low,Spring,70,Southeast,5.9
76,3/15/2023,5,83,510,High,Spring,85,Southwest,6
77,3/16/2023,5,93,950,Medium,Spring,89,Northwest,5.7
78,3/17/2023,5,71,85,Low,Summer,75,Northeast,5.6
79,3/18/2023,10,88,500,High,Summer,91,West,6.5
80,3/19/2023,6,98,960,Medium,Summer,93,Midwest,6.4
81,3/20/2023,10,60,75,Low,Fall,68,Southeast,5.6
82,3/21/2023,10,79,515,High,Fall,82,Southwest,5.7
83,3/22/2023,10,88,930,Medium,Fall,86,Northwest,5.8
84,3/23/2023,10,63,70,Low,Winter,69,Northeast,5.4
85,3/24/2023,10,76,525,High,Winter,80,West,5.5
86,3/25/2023,5,87,950,Medium,Winter,85,Midwest,5.2
87,3/26/2023,5,66,85,Low,Spring,71,Southeast,5.8
88,3/27/2023,5,82,510,High,Spring,83,Southwest,5.9
89,3/28/2023,5,92,940,Medium,Spring,87,Northwest,6
90,3/29/2023,5,70,80,Low,Summer,76,Northeast,5.4
91,3/30/2023,7,85,500,High,Summer,88,West,6.2
92,3/31/2023,7,96,930,Medium,Summer,91,Midwest,6.1
93,4/1/2023,10,61,75,Low,Fall,69,Southeast,5.7
94,4/1/2023,10,78,515,High,Fall,81,Southwest,5.8
95,4/2/2023,4,89,920,Medium,Fall,86,Northwest,5.9
96,4/3/2023,10,62,70,Low,Winter,68,Northeast,5.5
97,4/4/2023,10,77,530,High,Winter,82,West,5.4
98,4/5/2023,4,86,950,Medium,Winter,84,Midwest,5.3
99,4/6/2023,6,64,80,Low,Spring,70,Southeast,5.9
100,4/7/2023,6,81,515,High,Spring,84,Southwest,6
101,4/8/2023,5,91,940,Medium,Spring,89,Northwest,5.6
102,4/9/2023,5,73,85,Low,Summer,77,Northeast,5.7
103,4/10/2023,6,87,500,High,Summer,90,West,6.3
104,4/11/2023,5,97,930,Medium,Summer,92,Midwest,6.2
105,4/12/2023,5,65,75,Low,Fall,71,Southeast,5.8
106,4/13/2023,4,80,520,High,Fall,83,Southwest,5.8
107,4/14/2023,6,90,920,Medium,Fall,88,Northwest,5.9
108,4/15/2023,4,62,70,Low,Winter,69,Northeast,5.5
109,4/16/2023,10,78,525,High,Winter,81,West,5.4
110,4/17/2023,10,86,940,Medium,Winter,84,Midwest,5.3
111,4/18/2023,10,65,80,Low,Spring,70,Southeast,5.9
112,4/19/2023,10,83,510,High,Spring,85,Southwest,6
113,4/20/2023,10,93,950,Medium,Spring,89,Northwest,5.7
114,4/21/2023,10,71,85,Low,Summer,75,Northeast,5.6
115,4/22/2023,10,88,500,High,Summer,91,West,6.5
116,4/23/2023,1,98,960,Medium,Summer,93,Midwest,6.4
117,4/24/2023,2,60,75,Low,Fall,68,Southeast,5.6
118,4/25/2023,3,79,515,High,Fall,82,Southwest,5.7
119,4/26/2023,1,88,930,Medium,Fall,86,Northwest,5.8
120,4/27/2023,4,63,70,Low,Winter,69,Northeast,5.4
121,4/28/2023,9,76,525,High,Winter,80,West,5.5
122,4/29/2023,8,87,950,Medium,Winter,85,Midwest,5.2
123,4/30/2023,8,66,85,Low,Spring,71,Southeast,5.8
124,5/1/2023,6,82,510,High,Spring,83,Southwest,5.9
125,5/1/2023,4,92,940,Medium,Spring,87,Northwest,6
126,5/2/2023,7,70,80,Low,Summer,76,Northeast,5.4
127,5/3/2023,7,85,500,High,Summer,88,West,6.2
128,5/4/2023,5,96,930,Medium,Summer,91,Midwest,6.1
129,5/5/2023,4,61,75,Low,Fall,69,Southeast,5.7
130,5/6/2023,7,78,515,High,Fall,81,Southwest,5.8
131,5/7/2023,5,89,920,Medium,Fall,86,Northwest,5.9
132,5/8/2023,5,62,70,Low,Winter,68,Northeast,5.5
133,5/9/2023,5,77,530,High,Winter,82,West,5.4
134,5/10/2023,10,86,950,Medium,Winter,84,Midwest,5.3
135,5/11/2023,6,64,80,Low,Spring,70,Southeast,5.9
136,5/12/2023,10,81,515,High,Spring,84,Southwest,6
137,5/13/2023,10,91,940,Medium,Spring,89,Northwest,5.6
138,5/14/2023,10,73,85,Low,Summer,77,Northeast,5.7
139,5/15/2023,10,87,500,High,Summer,90,West,6.3
140,5/16/2023,10,97,930,Medium,Summer,92,Midwest,6.2
141,5/17/2023,5,65,75,Low,Fall,71,Southeast,5.8
142,5/18/2023,5,80,520,High,Fall,83,Southwest,5.8
143,5/19/2023,5,90,920,Medium,Fall,88,Northwest,5.9
144,5/20/2023,5,62,70,Low,Winter,69,Northeast,5.5
145,5/21/2023,5,78,525,High,Winter,81,West,5.4
146,5/22/2023,7,86,940,Medium,Winter,84,Midwest,5.3
147,5/23/2023,7,65,80,Low,Spring,70,Southeast,5.9
148,5/24/2023,10,83,510,High,Spring,85,Southwest,6
149,5/25/2023,10,93,950,Medium,Spring,89,Northwest,5.7
150,5/26/2023,4,71,85,Low,Summer,75,Northeast,5.6
151,5/27/2023,10,88,500,High,Summer,91,West,6.5
152,5/28/2023,10,98,960,Medium,Summer,93,Midwest,6.4
153,5/29/2023,4,60,75,Low,Fall,68,Southeast,5.6
154,5/30/2023,6,79,515,High,Fall,82,Southwest,5.7
155,5/31/2023,6,88,930,Medium,Fall,86,Northwest,5.8
156,6/1/2023,5,63,70,Low,Winter,69,Northeast,5.4
157,6/1/2023,5,76,525,High,Winter,80,West,5.5
158,6/2/2023,6,87,950,Medium,Winter,85,Midwest,5.2
159,6/3/2023,5,66,85,Low,Spring,71,Southeast,5.8
160,6/4/2023,5,82,510,High,Spring,83,Southwest,5.9
161,6/5/2023,4,92,940,Medium,Spring,87,Northwest,6
162,6/6/2023,6,70,80,Low,Summer,76,Northeast,5.4
163,6/7/2023,4,85,500,High,Summer,88,West,6.2
164,6/8/2023,10,96,930,Medium,Summer,91,Midwest,6.1
165,6/9/2023,10,61,75,Low,Fall,69,Southeast,5.7
166,6/10/2023,10,78,515,High,Fall,81,Southwest,5.8
167,6/11/2023,10,89,920,Medium,Fall,86,Northwest,5.9
168,6/12/2023,10,62,70,Low,Winter,68,Northeast,5.5
169,6/13/2023,10,77,530,High,Winter,82,West,5.4
170,6/14/2023,10,86,950,Medium,Winter,84,Midwest,5.3
171,6/15/2023,10,64,80,Low,Spring,70,Southeast,5.9
172,6/16/2023,10,81,515,High,Spring,84,Southwest,6
173,6/17/2023,10,91,940,Medium,Spring,89,Northwest,5.6
174,7/1/2023,10,73,85,Low,Summer,77,Northeast,5.7
175,8/1/2023,10,87,500,High,Summer,90,West,6.3
176,9/1/2023,1,97,930,Medium,Summer,92,Midwest,6.2
177,10/1/2023,2,65,75,Low,Fall,71,Southeast,5.8
178,11/1/2023,3,80,520,High,Fall,83,Southwest,5.8
179,12/1/2023,1,90,920,Medium,Fall,88,Northwest,5.9
180,1/1/2024,4,62,70,Low,Winter,69,Northeast,5.5
181,2/1/2024,9,78,525,High,Winter,81,West,5.4
182,3/1/2024,8,86,940,Medium,Winter,84,Midwest,5.3
183,4/1/2024,8,65,80,Low,Spring,70,Southeast,5.9
184,5/1/2024,6,83,510,High,Spring,85,Southwest,6
185,6/1/2024,4,93,950,Medium,Spring,89,Northwest,5.7
186,6/2/2024,7,71,85,Low,Summer,75,Northeast,5.6
187,6/3/2024,7,88,500,High,Summer,91,West,6.5
188,6/4/2024,5,98,960,Medium,Summer,93,Midwest,6.4
189,6/5/2024,4,60,75,Low,Fall,68,Southeast,5.6
190,6/6/2024,7,79,515,High,Fall,82,Southwest,5.7
191,6/7/2024,5,88,930,Medium,Fall,86,Northwest,5.8
192,6/8/2024,5,63,70,Low,Winter,69,Northeast,5.4
193,6/9/2024,5,76,525,High,Winter,80,West,5.5
194,6/10/2024,10,87,950,Medium,Winter,85,Midwest,5.2
195,6/11/2024,6,66,85,Low,Spring,71,Southeast,5.8
196,6/12/2024,10,82,510,High,Spring,83,Southwest,5.9
197,6/13/2024,10,92,940,Medium,Spring,87,Northwest,6
198,6/14/2024,10,70,80,Low,Summer,76,Northeast,5.4
199,6/15/2024,10,85,500,High,Summer,88,West,6.2
200,6/16/2024,10,96,930,Medium,Summer,91,Midwest,6.1